Commune;Population standardisée par la consommation de soins de médecine générale par tranche d'âge;APL aux médecins généralistes
02032;242,1954871;2,541362524
02033;103,0828969;2,585522528
02034;111,6775527;0,515273706
02035;264,1498884;3,256257109
02036;87,08208344;3,063999804
02037;1393,874597;3,902274167
02038;65,49735546;1,998539894
02039;155,5738372;2,612409005
02040;178,4005511;1,67994457
02041;826,1618303;2,683718272
02042;396,2727189;3,382986993
02043;68,62244027;1,390802161
02044;27,58903004;2,971649532
02046;549,6339175;3,316040172
02047;113,1127177;3,473866307
02048;129,4708539;2,918862475
02049;761,5551122;3,117475174
02050;323,7025871;3,741532954
02051;404,8082101;3,909157861
02052;141,7198236;1,602878257
02053;584,5406456;2,530009311
02054;445,114085;3,347062432
02055;102,0219066;2,748569577
02056;170,3733994;2,825614685
02057;1457,846651;3,212197332
02058;803,2753132;2,025901377
02059;2727,930691;4,183782039
02060;275,607248;1,533822672
02061;236,0553932;3,166785648
02062;133,3495011;2,129056887
02063;373,4482151;3,128045056
02064;4116,246429;3,693761311
02065;588,5586999;2,140612803
02066;207,7285992;4,413048324
02067;213,1215143;4,068171004
02068;100,132011;2,769193061
02069;116,3320168;3,414087381
02070;443,0802596;3,395921558
02071;637,4633935;1,682153864
02072;183,4620349;2,897117177
02073;629,8289796;3,295414879
02074;584,5334576;2,775880648
02075;199,9358663;3,479991196
02076;147,7371949;2,573994579
02077;374,0846313;2,716220547
02078;150,2322095;1,583301074
02079;162,3052351;2,660261435
02080;357,6835915;3,658415325
02081;424,1451924;2,704601477
02082;110,6159265;2,137688073
02083;730,3244695;3,043332676
02084;251,87659;2,163378085
02085;951,5072803;2,553353392
02086;1058,240604;2,678413824
02087;30,17948102;1,543744635
02088;87,38853807;1,518046128
02089;1212,597314;3,571573646
02090;207,8061139;1,085429665
02091;111,0329823;3,005005379
02093;1309,446492;1,737469233
02094;435,9318594;4,463586376
02095;5675,473522;3,433200684
02096;196,7357991;2,722354767
02097;257,3699733;1,96451798
02098;375,041215;3,313379654
02099;219,7630881;1,832226844
02100;131,1926478;2,95018536
02101;199,5405655;3,497516862
02102;180,5872325;1,411983811
02103;1321,702485;4,202176502
02104;109,1498929;2,407931238
02105;199,8082973;2,49908084
02106;875,5502204;2,489451757
02107;106,4709255;1,157761712
02108;159,9895511;4,208350306
02109;497,7418691;3,84653897
02110;2305,513414;2,986373555
02111;693,0580981;1,790015311
02112;554,4424605;2,968251946
02114;1689,064715;3,609273932
02115;209,43721;1,326899619
02116;157,3337728;1,914745347
02117;65,66908356;2,17752947
02118;124,0805502;3,256363095
02119;337,4292767;2,849886574
02120;187,3407018;2,736829156
02121;235,7785579;1,877299093
