codgeo;libgeo;an;apl_mg_65_hmep
26109;Die;2018;3,30
26110;Châteauneuf-du-Rhône;2018;3,60
26201;Donzère;2018;3,20
26202;Nyons;2018;2,90
26203;Chabeuil;2018;3,50
26204;Beaumont-lès-Valence;2018;3,50
26301;Saint-Paul-Trois-Châteaux;2018;2,90
26302;Pierrelatte;2018;3,30
26303;Crest;2018;4,40
26304;Livron-sur-Drôme;2018;3,60
26501;Romans-sur-Isère;2018;4,10
27101;La Couture-Boussey;2018;2,80
27102;La Bonneville-sur-Iton;2018;1,80
27103;Rugles;2018;2,20
27104;Routot;2018;3,00
27105;La Saussaye;2018;2,70
27106;La Haye-Malherbe;2018;2,50
27107;Le Thuit de l'Oison;2018;3,60
27108;Gasny;2018;2,40
27109;Étrépagny;2018;2,40
27110;Pîtres;2018;3,00
27111;Bourg-Achard;2018;3,80
27112;Saint-André-de-l'Eure;2018;2,20
27113;Breteuil;2018;2,30
27114;Fleury-sur-Andelle;2018;3,70
27115;Le Neubourg;2018;2,40
27116;Romilly-sur-Andelle;2018;2,80
27117;Brionne;2018;2,40
27201;Pont-de-l'Arche;2018;5,90
27202;Beaumont-le-Roger;2018;3,20
27203;Mesnils-sur-Iton;2018;1,70
27204;Conches-en-Ouche;2018;1,60
27205;Pacy-sur-Eure;2018;1,50
27206;Verneuil d'Avre et d'Iton;2018;2,50
27207;Les Andelys;2018;1,80
27301;Bernay;2018;2,50
27302;Pont-Audemer;2018;2,80
27303;Gaillon;2018;2,30
27401;Vernon;2018;2,90
27402;Louviers;2018;3,30
27501;Évreux;2018;3,10
28101;Abondant;2018;3,10
28102;Toury;2018;1,90
28103;Châteauneuf-en-Thymerais;2018;2,00
28104;Saint-Georges-sur-Eure;2018;2,80
28105;Courville-sur-Eure;2018;2,00
28106;Senonches;2018;1,70
28107;Illiers-Combray;2018;1,60
28108;La Loupe;2018;2,20
28109;Les Villages Vovéens;2018;2,80
28110;Jouy;2018;2,40
28201;Brou;2018;2,10
28202;Bonneval;2018;2,00
28203;Cloyes-les-Trois-Rivières;2018;2,40
28204;Gallardon;2018;2,70
28205;Auneau-Bleury-Saint-Symphorien;2018;2,70
28206;Maintenon;2018;2,70
28207;Nogent-le-Roi;2018;2,30
28208;Nogent-le-Rotrou;2018;2,50
28301;Châteaudun;2018;2,90
28401;Dreux;2018;2,40
28501;Chartres;2018;3,80
29101;Saint-Pabu;2018;3,00
29102;Lampaul-Plouarzel;2018;2,60
29103;Kerlouan;2018;4,60
29104;Hôpital-Camfrout;2018;3,40
29105;Plonéis;2018;3,00
29106;Camaret-sur-Mer;2018;2,90
29107;Névez;2018;2,60
29108;Le Conquet;2018;3,10
29109;Pont-Aven;2018;3,80
29110;Plouvorn;2018;3,00
29111;Plozévet;2018;4,20
29112;Saint-Thégonnec Loc-Eguiner;2018;3,80
29113;Pleyber-Christ;2018;2,60
29114;Lanmeur;2018;4,10
29115;Saint-Thonan;2018;5,10
29116;Plougasnou;2018;2,70
29117;Plouescat;2018;2,60
29118;Saint-Évarzec;2018;5,70
29119;Bourg-Blanc;2018;4,50
29120;Landéda;2018;1,90
29121;Pleyben;2018;4,10
29122;Châteauneuf-du-Faou;2018;3,90
29123;Loperhet;2018;4,10
29124;Plouvien;2018;3,90
29125;Cléder;2018;3,20
